claim_id	evidence_id	evidence_kind	location	sha256	hash_mode	architecture_requirement
QDD-PASSIVE-QUADRATIC-CALIBRATION	EV-QDD-PASSIVE-QUADRATIC-CALIBRATION	PUBLIC_PROBE	probes/P-QDD-PASSIVE-QUADRATIC-CALIBRATION-1	8d0c6c808a7932b37b7ff8ea6ec8de33740d883e0b6bac39afa314b36a540701	bundle-manifest-sha256-v1	two-architecture
QDD-PASSIVE-THRESHOLD-MOMENT-COMPLETION	EV-QDD-PASSIVE-THRESHOLD-MOMENT-COMPLETION	PUBLIC_PROBE	probes/P-QDD-PASSIVE-THRESHOLD-MOMENT-1	3259a367ca2b496ea5b43e4952c66eab4a1d064b1c451127b08bf54fad7b80c2	bundle-manifest-sha256-v1	two-architecture
QDD-PASSIVE-NATIVE-MEMORY	EV-QDD-PASSIVE-NATIVE-MEMORY	PUBLIC_PROBE	probes/P-QDD-PASSIVE-NATIVE-MEMORY-1	52d133dc89b07d89947e6a0eacac0d5fbd6e003d844813f397a065fdc5ed74a8	bundle-manifest-sha256-v1	two-architecture
