filename	L	start	replica	seed	thermal_cycles	measurements	between_cycles	bytes	sha256	exit_code	stderr_bytes
L6_cold_r1.log	6	cold	1	0xe755060000000101	512	512	4	376402	ce741456b8e5cc9e73c4ae2aeaf174a110f28e450285a79ce8b6e1c82c1d958f	0	0
L6_cold_r2.log	6	cold	2	0xe755060000000102	512	512	4	376411	86a17a86a23b41a118bfa8418cacc8b7c0a23e7c95fda5a32fe547c4737d84fd	0	0
L6_hot_r1.log	6	hot	1	0xe755060000000201	512	512	4	376227	225b09fb6906d7a314eb03f2d2d72220df795b8463add3375accf2b049b1d4e4	0	0
L6_hot_r2.log	6	hot	2	0xe755060000000202	512	512	4	376369	2b28e29538187c3a5065447b805c1337c166ea24107d885f4666468fdb0ba88e	0	0
L8_cold_r1.log	8	cold	1	0xe755080000000101	1024	512	8	368217	f80740acaf14bdaabe0ae2af099b22a75bbe6e49423b78651d2800a9ad3682b2	0	0
L8_cold_r2.log	8	cold	2	0xe755080000000102	1024	512	8	368431	85c8a88f1b87149c5e1aa31994a5be4581b516059061425966481ece08eab853	0	0
L8_hot_r1.log	8	hot	1	0xe755080000000201	1024	512	8	367764	f0e865a029abbb618fecaaac4a9357cad56027fc261d434278e9fcc048fe1f32	0	0
L8_hot_r2.log	8	hot	2	0xe755080000000202	1024	512	8	368229	d7037f179e5e8b42c1e467c386a36fc9c41125d3cf0d62ce4db29d8e3dd644ed	0	0
