RUN model=TWIST_Z5_FACE_WEIGHT_V1 L=8 t=1 seed=0xe755080000000202 start=hot replica=2 thermal_cycles=1024 measurements=512 between_cycles=8 bit_cap=256
SAMPLE index=11 logw=1.1565494179413092 polyakov_radius_mean=0.24331866561721555 polyakov_radius_0=0.22364000792327701 polyakov_radius_1=0.24568167727238416 polyakov_radius_2=0.28747707661970218 polyakov_radius_3=0.21647590065349878 vortex_density=0.46293131510416669 monopole_density=0.0130615234375 score_mean=-0.0030618987465411869 flux_asym_14=4.0690104166666671e-05 flux_asym_23=-0.000732421875 flux_fraction_0=0.53706868489583337 flux_fraction_1=0.2227783203125 flux_fraction_2=0.0083414713541666661 flux_fraction_3=0.0090738932291666661 flux_fraction_4=0.22273763020833334 flux_count_0=13199 flux_count_1=5475 flux_count_2=205 flux_count_3=223 flux_count_4=5474 state_hash=1e60e3a19052a6b6 cache_hash=5d0777eebceee6fd
SAMPLE index=12 logw=1.1544921331037623 polyakov_radius_mean=0.21968570032228718 polyakov_radius_0=0.2158302687436941 polyakov_radius_1=0.20103689226895347 polyakov_radius_2=0.16981107838648513 polyakov_radius_3=0.29206456189001601 vortex_density=0.46427408854166669 monopole_density=0.0118408203125 score_mean=0.0054224600916541604 flux_asym_14=-0.0006103515625 flux_asym_23=0.0014241536458333333 flux_fraction_0=0.53572591145833337 flux_fraction_1=0.22273763020833334 flux_fraction_2=0.0098063151041666661 flux_fraction_3=0.0083821614583333339 flux_fraction_4=0.22334798177083334 flux_count_0=13166 flux_count_1=5474 flux_count_2=241 flux_count_3=206 flux_count_4=5489 state_hash=29da068bf68ff1d5 cache_hash=8e8b7e2c9c9d68d9
SAMPLE index=13 logw=1.1634608940122793 polyakov_radius_mean=0.24844057937000538 polyakov_radius_0=0.26377716850947602 polyakov_radius_1=0.17066025305616356 polyakov_radius_2=0.25888643131500916 polyakov_radius_3=0.30043846459937279 vortex_density=0.45438639322916669 monopole_density=0.01171875 score_mean=-2.1478842976905134e-05 flux_asym_14=-0.0003662109375 flux_asym_23=8.1380208333333329e-05 flux_fraction_0=0.54561360677083337 flux_fraction_1=0.21915690104166666 flux_fraction_2=0.0078938802083333339 flux_fraction_3=0.0078125 flux_fraction_4=0.21952311197916666 flux_count_0=13409 flux_count_1=5386 flux_count_2=194 flux_count_3=192 flux_count_4=5395 state_hash=7b5576d7476ad375 cache_hash=72c7780f8931d821
SAMPLE index=14 logw=1.1611095817766846 polyakov_radius_mean=0.24086551308264875 polyakov_radius_0=0.24462076028057569 polyakov_radius_1=0.24106881313914522 polyakov_radius_2=0.19870926179354401 polyakov_radius_3=0.27906321711733006 vortex_density=0.45845540364583331 monopole_density=0.01123046875 score_mean=0.0016162662577309487 flux_asym_14=-0.0018310546875 flux_asym_23=0.00081380208333333337 flux_fraction_0=0.54154459635416663 flux_fraction_1=0.22029622395833334 flux_fraction_2=0.0084228515625 flux_fraction_3=0.007609049479166667 flux_fraction_4=0.22212727864583334 flux_count_0=13309 flux_count_1=5414 flux_count_2=207 flux_count_3=187 flux_count_4=5459 state_hash=076b173745825125 cache_hash=d1542fed23bb5b1e
SAMPLE index=15 logw=1.1634263993255116 polyakov_radius_mean=0.2398262803911658 polyakov_radius_0=0.20628459349043174 polyakov_radius_1=0.29844015065593377 polyakov_radius_2=0.20658856747783144 polyakov_radius_3=0.24799180994046618 vortex_density=0.4544677734375 monopole_density=0.0084228515625 score_mean=-0.0023871106551104715 flux_asym_14=0.0017496744791666667 flux_asym_23=-0.0009765625 flux_fraction_0=0.5455322265625 flux_fraction_1=0.22025553385416666 flux_fraction_2=0.007364908854166667 flux_fraction_3=0.0083414713541666661 flux_fraction_4=0.218505859375 flux_count_0=13407 flux_count_1=5413 flux_count_2=181 flux_count_3=205 flux_count_4=5370 state_hash=42e317a975f094c1 cache_hash=df71754f77265ac1
SAMPLE index=16 logw=1.1593607349128714 polyakov_radius_mean=0.24746313241643592 polyakov_radius_0=0.26608788378099418 polyakov_radius_1=0.23654273324024119 polyakov_radius_2=0.24263454012658484 polyakov_radius_3=0.24458737251792348 vortex_density=0.456298828125 monopole_density=0.01123046875 score_mean=-0.0027826737878414204 flux_asym_14=0.004801432291666667 flux_asym_23=-0.0017903645833333333 flux_fraction_0=0.543701171875 flux_fraction_1=0.22184244791666666 flux_fraction_2=0.0078125 flux_fraction_3=0.0096028645833333339 flux_fraction_4=0.217041015625 flux_count_0=13362 flux_count_1=5452 flux_count_2=192 flux_count_3=236 flux_count_4=5334 state_hash=05e2db522c68d183 cache_hash=bc6c683e5cc9f61f
SAMPLE index=17 logw=1.1623321289497606 polyakov_radius_mean=0.24190797083556498 polyakov_radius_0=0.21899447655970061 polyakov_radius_1=0.24981570393284955 polyakov_radius_2=0.24075043670203142 polyakov_radius_3=0.25807126614767839 vortex_density=0.45279947916666669 monopole_density=0.0096435546875 score_mean=0.0032817576433308319 flux_asym_14=0.0020751953125 flux_asym_23=0.00028483072916666668 flux_fraction_0=0.54720052083333337 flux_fraction_1=0.2191162109375 flux_fraction_2=0.0084635416666666661 flux_fraction_3=0.0081787109375 flux_fraction_4=0.217041015625 flux_count_0=13448 flux_count_1=5385 flux_count_2=208 flux_count_3=201 flux_count_4=5334 state_hash=520aa6b6a1c3317d cache_hash=688ccf0eab23ef1f
SAMPLE index=18 logw=1.1552589306924177 polyakov_radius_mean=0.24547778931788566 polyakov_radius_0=0.23554553945989129 polyakov_radius_1=0.23683228449650984 polyakov_radius_2=0.2362717727850267 polyakov_radius_3=0.27326156053011486 vortex_density=0.4622802734375 monopole_density=0.012451171875 score_mean=-0.002462885092976905 flux_asym_14=-0.0028076171875 flux_asym_23=8.1380208333333329e-05 flux_fraction_0=0.5377197265625 flux_fraction_1=0.22062174479166666 flux_fraction_2=0.0091552734375 flux_fraction_3=0.0090738932291666661 flux_fraction_4=0.22342936197916666 flux_count_0=13215 flux_count_1=5422 flux_count_2=225 flux_count_3=223 flux_count_4=5491 state_hash=37724bf621e5d62b cache_hash=e24ca1e37cc920f0
SAMPLE index=19 logw=1.1597277800988042 polyakov_radius_mean=0.24915212008550419 polyakov_radius_0=0.21414186251209122 polyakov_radius_1=0.25270581153953892 polyakov_radius_2=0.29704667629383691 polyakov_radius_3=0.23271412999654981 vortex_density=0.45894368489583331 monopole_density=0.0118408203125 score_mean=-0.0023074627251179758 flux_asym_14=-0.0017903645833333333 flux_asym_23=-0.0001220703125 flux_fraction_0=0.54105631510416663 flux_fraction_1=0.22025553385416666 flux_fraction_2=0.0082600911458333339 flux_fraction_3=0.0083821614583333339 flux_fraction_4=0.2220458984375 flux_count_0=13297 flux_count_1=5413 flux_count_2=203 flux_count_3=206 flux_count_4=5457 state_hash=37c4fcebf6bfbac4 cache_hash=41d5f38e132bb7ba
SAMPLE index=20 logw=1.1601956993145393 polyakov_radius_mean=0.23656971348081213 polyakov_radius_0=0.24867113190570325 polyakov_radius_1=0.26210361897307566 polyakov_radius_2=0.21983139626340864 polyakov_radius_3=0.21567270678106099 vortex_density=0.4561767578125 monopole_density=0.0089111328125 score_mean=-0.0018411956215411871 flux_asym_14=0.0012613932291666667 flux_asym_23=-0.000732421875 flux_fraction_0=0.5438232421875 flux_fraction_1=0.22021484375 flux_fraction_2=0.0081380208333333339 flux_fraction_3=0.0088704427083333339 flux_fraction_4=0.21895345052083334 flux_count_0=13365 flux_count_1=5412 flux_count_2=200 flux_count_3=218 flux_count_4=5381 state_hash=62760b6894286418 cache_hash=815320a2ab618135
SAMPLE index=21 logw=1.1581520024921552 polyakov_radius_mean=0.20158077787171441 polyakov_radius_0=0.20154591136127697 polyakov_radius_1=0.14358457198985877 polyakov_radius_2=0.25536505029009182 polyakov_radius_3=0.20582757784563008 vortex_density=0.45878092447916669 monopole_density=0.0098876953125 score_mean=0.001070351224161664 flux_asym_14=-0.0013427734375 flux_asym_23=0.00056966145833333337 flux_fraction_0=0.54121907552083337 flux_fraction_1=0.219970703125 flux_fraction_2=0.009033203125 flux_fraction_3=0.0084635416666666661 flux_fraction_4=0.2213134765625 flux_count_0=13301 flux_count_1=5406 flux_count_2=222 flux_count_3=208 flux_count_4=5439 state_hash=85ef0663b9f2a0e1 cache_hash=e377a5642ff21151
