source_id	observable	source_title	edition	DOI_or_record	value	uncertainty	units	scheme	access_date	local_hash	license
SRC-CODATA-2022-ALPHA	inverse fine structure constant	CODATA recommended values of the fundamental physical constants	2022	doi:10.48550/arXiv.2409.03787	137.035999177	0.000000021	dimensionless	CODATA least squares adjustment	2026-07-13	NOT-LOCAL	CC BY 4.0 preprint; NIST recommended value
SRC-CODATA-2018-MUON	muon electron mass ratio	CODATA recommended values of the fundamental physical constants	2018	doi:10.1103/RevModPhys.93.025010	206.7682830	0.0000046	dimensionless	CODATA least squares adjustment	2026-07-13	NOT-LOCAL	public domain (NIST)
SRC-CODATA-2018-TAU	tau electron mass ratio	CODATA recommended values of the fundamental physical constants	2018	doi:10.1103/RevModPhys.93.025010	3477.23	0.23	dimensionless	CODATA least squares adjustment	2026-07-13	NOT-LOCAL	public domain (NIST)
SRC-CODATA-2018-NEUTRON	neutron electron mass ratio	CODATA recommended values of the fundamental physical constants	2018	doi:10.1103/RevModPhys.93.025010	1838.68366173	0.00000089	dimensionless	CODATA least squares adjustment	2026-07-13	NOT-LOCAL	public domain (NIST)
SRC-PSR-B1913	orbital period decay of PSR B1913+16	Relativistic measurements from timing the binary pulsar PSR B1913+16	2016	doi:10.3847/0004-637X/829/1/55	0.9983	0.0016	ratio of observed to predicted quadrupole decay	pulsar timing	2026-07-13	NOT-LOCAL	journal copyright AAS; public arXiv preprint metadata
SRC-EHT-M87	M87* ring angular diameter	First M87 Event Horizon Telescope Results I	2019	doi:10.3847/2041-8213/ab0ec7	42	3	microarcsecond	VLBI imaging	2026-07-13	NOT-LOCAL	CC BY 3.0
