branch	state	ahead	last_commit	adds_files	has_prereg	has_result
probe/P-ENTROPY-BRIDGE-1	MERGED	0	-	0	0	0
probe/P-ENTROPY-BRIDGE-2	MERGED	0	-	0	0	0
probe/P-ENTROPY-BRIDGE-3	MERGED	0	-	0	0	0
probe/P-ENTROPY-BRIDGE-4	MERGED	0	-	0	0	0
probe/P-ENTROPY-CURSOR-CLOSURE-1	MERGED	0	-	0	0	0
probe/P-ENTROPY-LAW-REDUCTION-1	MERGED	0	-	0	0	0
probe/P-ENTROPY-MIRROR-1	MERGED	0	-	0	0	0
probe/P-ENTROPY-RESIDUE-MATH-1	MERGED	0	-	0	0	0
probe/P-ENTROPY-RG-RETURN-1	MERGED	0	-	0	0	0
probe/P-FIELD-ZERO-NONZERO-CUT-1	MERGED	0	-	0	0	0
probe/P-FINITE-PRIME-SUPPORT-DILATIONS-1	DIVERGENT	1	2026-08-20	2	1	0
probe/P-FIRED-COMMUTATOR-NOGO-1	MERGED	0	-	0	0	0
probe/P-GYRON-DISCREPANCY-LOG-3	MERGED	0	-	0	0	0
probe/P-J-BINARY-NORM-DESCENT-1	MERGED	0	-	0	0	0
probe/P-J-BINARY-NORM-INDEX-1	MERGED	0	-	0	0	0
probe/P-J-HARMONIC-SEAM-1	MERGED	0	-	0	0	0
probe/P-J-LI-CARRIER-NOGO-1	MERGED	0	-	0	0	0
probe/P-J-LI-TORAL-HAAR-1	MERGED	0	-	0	0	0
probe/P-J-ODD-MOTOR-BRIDGE-HARDENING-1	MERGED	0	-	0	0	0
probe/P-J-ODD-MOTOR-MEDIATED-BRIDGE-1	DIVERGENT	1	2026-08-22	2	1	0
probe/P-J-ODD-MOTOR-MEDIATED-BRIDGE-2	MERGED	0	-	0	0	0
probe/P-J-ODD-MOTOR-MEDIATED-BRIDGE-COVERAGE-1	DIVERGENT	1	2026-08-24	2	1	0
probe/P-J-ODD-MOTOR-MEDIATED-BRIDGE-COVERAGE-2	MERGED	0	-	0	0	0
probe/P-KERNEL-CONNECT-ALL-K-1	MERGED	0	-	0	0	0
probe/P-KERNEL-SUBSET-LANDSCAPE-1	MERGED	0	-	0	0	0
probe/P-KERNEL-Z6-SYNCHRONIZATION-1	MERGED	0	-	0	0	0
probe/P-LAMBDA-COCYCLE-ANGLES-1	MERGED	0	-	0	0	0
probe/P-LAMBDA-COCYCLE-ANGLES-2	MERGED	0	-	0	0	0
probe/P-MCKAY-THETA-CARRIER-1	MERGED	0	-	0	0	0
probe/P-METAL-TRACE-1	MERGED	0	-	0	0	0
probe/P-METRO-FORBIDDEN-WITNESSES-1	MERGED	0	-	0	0	0
probe/P-METRO-REDUCTION-ARROWS-4	MERGED	0	-	0	0	0
probe/P-MOBIUS-TM-PRIME2-1	MERGED	0	-	0	0	0
probe/P-PAULI-CARRIER-ALGEBRA-1	DIVERGENT	1	2026-08-07	2	1	0
